names;1.1.1. Forma��o Florestal;1.1.2. Forma��o Sav�nica;1.2. Floresta Plantada;2.1. �rea �mida Natural n�o Florestal;2.2. Forma��o Campestre (Campo);2.5. Outra Forma��o n�o Florestal;3.1. Pastagem;3.2.1. Cultura Anual e Perene;3.2.2. Cultura Semi-Perene;3.3 Mosaico de Agricultura ou Pastagem;4.1. Infraestrutura Urbana;5.1. Rio, Lago e Oceano;total;population;population bias;user's accuracy;user stderr;error of comission;area dis
 ANO: 1985 ;;;;;;;;;;;;;;;;;;;
 ;1.1.1. Forma��o Florestal;1.1.2. Forma��o Sav�nica;1.2. Floresta Plantada;2.1. �rea �mida Natural n�o Florestal;2.2. Forma��o Campestre (Campo);2.5. Outra Forma��o n�o Florestal;3.1. Pastagem;3.2.1. Cultura Anual e Perene;3.2.2. Cultura Semi-Perene;3.3 Mosaico de Agricultura ou Pastagem;4.1. Infraestrutura Urbana;5.1. Rio, Lago e Oceano;total;population;population bias;user's accuracy;user stderr;error of comission;area dis
1.1.1. Forma��o Florestal;0.5296399680811492;0.020028336040550078;0.0011967594740236993;0.00021170193675417966;0.0015720899776742647;0.009379571096557498;0.010580336641363233;0.00028719429611516033;0.00011109575103152302;0.0;9.83211532337152e-05;0.002803899922598269;0.5759092743710507;0.5759092743710507;-0.019129907633853818;0.9196586887050376;0.002364709970644987;0.08034131129496236;0.019129907633853582
1.1.2. Forma��o Sav�nica;0.010420309672394695;0.10011670893489479;8.956583518833147e-05;0.00011146024238384714;0.006505836341383418;0.0006809984659964894;0.01088171690946483;0.00038026269665465586;2.7876920555789236e-05;0.0;4.056347171910799e-05;8.251312014012354e-05;0.12933781261077607;0.12933781261077607;0.025325674498444962;0.7740714560882708;0.008118437013880715;0.22592854391172923;0.025325674498444972
1.2. Floresta Plantada;0.0004892074765040085;4.471899786334744e-05;0.002322636272956049;0.0;0.0;8.673643931981772e-06;0.0001365599466012232;1.0357359033198102e-05;0.0;0.0;0.0;0.0;0.003012153696889808;0.003012153696889808;0.001038824074367992;0.7710882334305457;0.029799898997513622;0.22891176656945433;0.0010388240743679925
2.1. �rea �mida Natural n�o Florestal;0.00010050129743742372;3.5855334187905e-05;0.0;0.0019821449262764812;0.0007056375035983674;0.0;1.5260989038307907e-05;0.0;0.0;0.0;0.0;6.711467407849897e-05;0.002906514724616984;0.002906514724616984;0.00014820720245575108;0.681966242760971;0.04222074913815106;0.31803375723902905;0.0001482072024557514
2.2. Forma��o Campestre (Campo);0.0020418450051766695;0.020653748389294346;5.408523353061997e-05;0.0005154959959907732;0.030243329499862182;0.0006566444013749338;0.008937898684113335;0.0005697540652661557;1.3093976440827504e-05;0.0;5.0366490919139804e-05;0.0002287501335570855;0.06396501187552606;0.06396501187552606;-0.016549762297362648;0.4728105039472916;0.008670502700001666;0.5271894960527084;0.016549762297362658
2.5. Outra Forma��o n�o Florestal;0.0015247276326399793;0.00025305770673498336;0.0;0.0;0.0003127683387500225;0.014793230837358123;0.0024710064472509277;6.597410762642722e-05;0.0;0.0;2.9906082397548353e-05;0.00022812998669041878;0.019678801139448428;0.019678801139448428;0.008886852240709946;0.7517343527448631;0.023556808372735005;0.2482656472551369;0.008886852240709946
3.1. Pastagem;0.007696007784100337;0.01054832450916558;0.0001640302952440427;1.3835114243417099e-05;0.0035740599456958715;0.0024003479113053486;0.11260839464482443;0.003716834452217521;0.0006853625535925365;0.0;0.0007078282773260115;0.00020612835783513297;0.14232115384555022;0.14232115384555022;0.008005693383011513;0.7912273868087805;0.007793281549214975;0.20877261319121954;0.008005693383011575
3.2.1. Cultura Anual e Perene;0.0002135496243469881;0.0010032168921816971;2.5984990539754312e-05;3.53821436122023e-05;0.0038849322766841173;1.1905205379452535e-05;0.0043837103249669655;0.015469005934301144;0.0004654450071344905;0.0;6.669696540664322e-05;6.579364493361034e-05;0.025625623009487064;0.025625623009487064;-0.004496209133194673;0.6036538478917827;0.014798445963344113;0.39634615210821733;0.004496209133194647
3.2.2. Cultura Semi-Perene;1.0976466722844857e-05;1.2342807769932716e-05;1.3529128964084676e-05;0.0;0.0;0.0;9.877461773469255e-05;0.0006300309650781494;0.0017164475113526359;0.0;0.0;0.0;0.00248210149762234;0.00248210149762234;0.0005372202224854626;0.6915299446847197;0.04048331461185496;0.30847005531528027;0.0005372202224854625
3.3 Mosaico de Agricultura ou Pastagem;0.004297641291764662;0.0019381748518526307;0.00018438654081121892;0.0;0.0005343980762042206;0.00030683892732965174;0.0;0.0;0.0;0.01221975308654907;0.00036671808744690067;0.00025038702899921316;0.02009829789095757;0.02009829789095757;-0.007878544804408505;0.6079994013844747;0.01428030272673176;0.3920005986155253;0.0078785448044085
4.1. Infraestrutura Urbana;2.7146629494758204e-05;0.0;0.0;0.0;0.0;1.326056466216626e-05;0.00011549200282472076;0.0;0.0;0.0;0.002037656100881168;0.0;0.0021935552978628132;0.0021935552978628132;0.0012045013314674214;0.9289285311687658;0.033905856512293824;0.07107146883123416;0.0012045013314674214
