red,green,code,blue,nir,maingrid,swir1,swir2,randomc,value,OGC_FID,subgrid
1132.5000,1022.5000,-37.725515_-11.069406,660.5000,2290.0000,SC-24-Z-C,2622.5000,2017.0000,0.345094538830633,1,125748,SC-24-Z-C-III
1351.5000,1105.0000,-37.724079_-11.069406,699.0000,2600.0000,SC-24-Z-C,2802.0000,2071.0000,0.106516942823273,1,125752,SC-24-Z-C-III
1307.5000,1117.0000,-37.725156_-11.069765,705.5000,2279.0000,SC-24-Z-C,2811.5000,2242.0000,0.129365685307256,1,125750,SC-24-Z-C-III
1447.0000,1275.5000,-37.724438_-11.068329,797.5000,2430.5000,SC-24-Z-C,3082.0000,2375.0000,0.467455430037224,1,125754,SC-24-Z-C-III
985.5000,835.0000,-37.726233_-11.068688,578.5000,2169.0000,SC-24-Z-C,2408.5000,1864.0000,0.976029294417902,1,125749,SC-24-Z-C-III
905.0000,788.0000,-37.726951_-11.068329,513.0000,2287.0000,SC-24-Z-C,2221.0000,1588.5000,0.082689889886573,1,125751,SC-24-Z-C-III
1265.5000,1023.5000,-37.726592_-11.067611,626.5000,2270.0000,SC-24-Z-C,2680.5000,2143.0000,0.555274181645262,1,125753,SC-24-Z-C-III
1315.0000,1387.0000,-37.782237_-11.281934,740.0000,3728.0000,SC-24-Z-C,2907.0000,1848.0000,0.812638725218366,1,125647,SC-24-Z-C-III
1355.5000,1136.0000,-37.782955_-11.280139,770.0000,2485.0000,SC-24-Z-C,2811.0000,2074.0000,0.325779085909755,1,125674,SC-24-Z-C-III
512.0000,699.0000,-37.785468_-11.27978,396.0000,3310.0000,SC-24-Z-C,1985.0000,817.5000,0.549336105060234,1,125673,SC-24-Z-C-III
540.0000,687.0000,-37.785468_-11.280139,398.0000,3405.5000,SC-24-Z-C,2007.0000,866.0000,0.066413283007628,1,125644,SC-24-Z-C-III
587.0000,698.0000,-37.787263_-11.279062,383.5000,3319.0000,SC-24-Z-C,2148.0000,980.0000,0.393346366694699,1,125688,SC-24-Z-C-III
1221.5000,1041.5000,-37.785109_-11.277626,667.5000,2371.5000,SC-24-Z-C,2837.5000,2175.0000,0.919606580328493,1,125689,SC-24-Z-C-III
1033.5000,987.0000,-37.785468_-11.277267,694.5000,2414.0000,SC-24-Z-C,2448.5000,1780.0000,0.000288521398563,1,125666,SC-24-Z-C-III
1202.5000,969.5000,-37.786545_-11.277267,675.0000,2196.0000,SC-24-Z-C,2780.0000,2127.0000,0.171463850499488,1,125654,SC-24-Z-C-III
1137.5000,975.0000,-37.786904_-11.277626,681.0000,2089.5000,SC-24-Z-C,2581.5000,1918.0000,0.724011479250547,1,125640,SC-24-Z-C-III
1176.0000,1066.0000,-37.786904_-11.277985,671.5000,2204.0000,SC-24-Z-C,2702.5000,2035.0000,0.490173341733786,1,125699,SC-24-Z-C-III
1227.5000,1065.0000,-37.786904_-11.275472,764.0000,2143.0000,SC-24-Z-C,2669.5000,1922.0000,0.742915233324690,1,125659,SC-24-Z-C-III
612.0000,715.0000,-37.785827_-11.275831,461.0000,3489.0000,SC-24-Z-C,1877.0000,939.0000,0.914087759051986,1,125649,SC-24-Z-C-III
782.0000,767.0000,-37.786186_-11.27619,572.0000,2681.0000,SC-24-Z-C,2226.0000,1575.0000,0.565468746538747,1,125646,SC-24-Z-C-III
620.0000,818.0000,-37.784391_-11.278703,466.0000,3181.0000,SC-24-Z-C,2192.0000,1086.0000,0.262211613466663,1,125660,SC-24-Z-C-III
1404.0000,1187.0000,-37.783314_-11.279421,767.0000,2470.0000,SC-24-Z-C,2517.0000,2043.0000,0.651384079746978,1,125642,SC-24-Z-C-III
611.5000,696.0000,-37.781878_-11.279421,403.0000,3594.0000,SC-24-Z-C,2216.5000,1088.5000,0.467230573730220,1,125678,SC-24-Z-C-III
879.0000,884.0000,-37.78475_-11.271523,517.0000,3366.0000,SC-24-Z-C,2685.0000,1651.0000,0.503081791147815,1,125661,SC-24-Z-C-III
585.0000,779.5000,-37.785468_-11.273677,416.0000,3613.5000,SC-24-Z-C,2231.5000,1068.0000,0.993991768515496,1,125655,SC-24-Z-C-III
1404.5000,1218.0000,-37.786904_-11.274395,873.0000,2220.0000,SC-24-Z-C,2961.0000,2348.5000,0.862242116498655,1,125651,SC-24-Z-C-III
803.0000,793.0000,-37.785109_-11.272241,495.0000,2857.0000,SC-24-Z-C,2653.0000,1742.0000,0.555109540975262,1,125690,SC-24-Z-C-III
1667.0000,1340.5000,-37.785827_-11.271523,825.0000,2562.0000,SC-24-Z-C,3109.0000,2540.5000,0.461289884482493,1,125671,SC-24-Z-C-III
1632.5000,1378.0000,-37.785468_-11.270087,933.0000,2643.5000,SC-24-Z-C,2708.0000,2151.5000,0.896112520900538,1,125658,SC-24-Z-C-III
788.0000,868.5000,-37.78475_-11.269728,529.0000,3433.0000,SC-24-Z-C,2311.5000,1274.5000,0.766690267686733,1,125656,SC-24-Z-C-III
868.0000,843.0000,-37.78475_-11.267574,599.0000,2608.0000,SC-24-Z-C,2057.0000,1309.0000,0.875470900490948,1,125662,SC-24-Z-C-III
766.0000,794.0000,-37.79552_-11.267215,542.0000,3156.0000,SC-24-Z-C,2473.0000,1306.0000,0.166552164311540,1,125663,SC-24-Z-C-III
1277.0000,1081.0000,-37.796956_-11.267933,663.0000,2491.0000,SC-24-Z-C,2735.0000,1929.0000,0.170315994436419,1,125693,SC-24-Z-C-III
1399.0000,1167.0000,-37.796238_-11.268651,702.0000,2756.5000,SC-24-Z-C,2868.5000,2158.5000,0.831600886101246,1,125643,SC-24-Z-C-III
1193.0000,1185.0000,-37.794802_-11.271164,740.0000,3340.0000,SC-24-Z-C,2654.0000,1737.0000,0.467751703290550,1,125679,SC-24-Z-C-III
1457.5000,1187.0000,-37.795161_-11.270446,760.0000,2244.0000,SC-24-Z-C,3173.0000,2532.0000,0.969024594229507,1,125641,SC-24-Z-C-III
1294.0000,1108.5000,-37.796597_-11.270087,716.0000,2942.5000,SC-24-Z-C,2637.0000,1843.0000,0.968869173471067,1,125652,SC-24-Z-C-III
803.0000,721.0000,-37.794802_-11.272241,457.0000,2748.0000,SC-24-Z-C,2438.0000,1339.0000,0.392185883940904,1,125667,SC-24-Z-C-III
1131.5000,999.5000,-37.793366_-11.271882,702.0000,2797.0000,SC-24-Z-C,2537.5000,1584.5000,0.120426917292067,1,125650,SC-24-Z-C-III
1239.5000,1145.0000,-37.793007_-11.2726,698.5000,3211.5000,SC-24-Z-C,2703.0000,1684.5000,0.010637471754091,1,125686,SC-24-Z-C-III
1355.5000,1218.0000,-37.791212_-11.273677,840.5000,2541.5000,SC-24-Z-C,2933.0000,2231.5000,0.580732003448571,1,125691,SC-24-Z-C-III
1161.0000,1047.0000,-37.790853_-11.273318,646.0000,3055.0000,SC-24-Z-C,3012.0000,2077.5000,0.383530160619049,1,125645,SC-24-Z-C-III
930.0000,860.0000,-37.792289_-11.272241,538.5000,2807.0000,SC-24-Z-C,2571.5000,1655.5000,0.238094308482500,1,125692,SC-24-Z-C-III
1122.0000,974.5000,-37.788699_-11.274754,618.5000,2665.5000,SC-24-Z-C,2836.5000,2068.5000,0.773768117792060,1,125657,SC-24-Z-C-III
1047.0000,883.0000,-37.788699_-11.27619,642.0000,2287.0000,SC-24-Z-C,2507.0000,1941.0000,0.400256383819343,1,125696,SC-24-Z-C-III
1277.0000,1275.0000,-37.789776_-11.276549,1032.0000,2205.0000,SC-24-Z-C,2622.0000,2143.0000,0.411699828395074,1,125694,SC-24-Z-C-III
1386.0000,1151.0000,-37.789776_-11.275831,831.0000,2249.5000,SC-24-Z-C,2778.0000,2151.0000,0.258281799477380,1,125653,SC-24-Z-C-III
1112.0000,1143.5000,-37.790135_-11.274395,779.5000,2966.5000,SC-24-Z-C,2616.0000,1878.0000,0.170596995850590,1,125676,SC-24-Z-C-III
1547.5000,1250.5000,-37.791212_-11.274754,922.0000,2363.0000,SC-24-Z-C,2954.5000,2478.0000,0.404809771842776,1,125670,SC-24-Z-C-III
1355.0000,1177.0000,-37.792648_-11.274395,728.5000,3196.5000,SC-24-Z-C,3137.0000,2334.0000,0.946850949309012,1,125665,SC-24-Z-C-III
1568.0000,1325.0000,-37.792648_-11.275472,860.0000,2965.0000,SC-24-Z-C,3170.0000,2435.0000,0.710633333634117,1,125695,SC-24-Z-C-III
840.0000,943.0000,-37.790853_-11.277626,638.0000,3260.0000,SC-24-Z-C,2358.0000,1326.5000,0.844912084145028,1,125680,SC-24-Z-C-III
504.0000,658.5000,-37.791212_-11.276908,403.5000,3205.5000,SC-24-Z-C,1705.5000,793.0000,0.413479737755890,1,125677,SC-24-Z-C-III
1535.0000,1325.0000,-37.792648_-11.276549,935.0000,2688.0000,SC-24-Z-C,3252.0000,2318.0000,0.648555679352187,1,125697,SC-24-Z-C-III
948.0000,1031.0000,-37.788699_-11.278703,736.5000,2982.5000,SC-24-Z-C,2453.0000,1399.0000,0.289666490983906,1,125664,SC-24-Z-C-III
1074.0000,1049.0000,-37.789058_-11.278703,652.0000,2315.0000,SC-24-Z-C,2202.0000,1348.0000,0.334154419962119,1,125687,SC-24-Z-C-III
976.0000,958.0000,-37.789776_-11.277267,652.0000,2420.0000,SC-24-Z-C,2437.0000,1578.0000,0.595009049414845,1,125675,SC-24-Z-C-III
1069.0000,1078.0000,-37.788699_-11.278344,721.5000,3222.0000,SC-24-Z-C,2350.0000,1345.5000,0.667526425080574,1,125648,SC-24-Z-C-III
786.5000,729.5000,-37.78834_-11.280139,513.5000,2602.0000,SC-24-Z-C,1928.5000,1093.0000,0.807085212471328,1,125681,SC-24-Z-C-III
1220.5000,1185.5000,-37.789417_-11.280498,742.5000,3538.0000,SC-24-Z-C,3145.5000,1869.5000,0.771955386495485,1,125672,SC-24-Z-C-III
1106.0000,1002.0000,-37.790853_-11.282293,584.0000,3414.0000,SC-24-Z-C,2689.0000,1742.0000,0.132165327715069,1,125685,SC-24-Z-C-III
569.5000,737.0000,-37.791212_-11.282652,381.5000,3961.5000,SC-24-Z-C,2199.5000,937.5000,0.198424663973117,1,125683,SC-24-Z-C-III
1404.0000,1238.0000,-37.792289_-11.283011,803.0000,2589.0000,SC-24-Z-C,2716.0000,1681.0000,0.357292661873298,1,125684,SC-24-Z-C-III
1002.0000,950.0000,-37.793725_-11.278344,562.0000,3289.0000,SC-24-Z-C,2337.0000,1348.0000,0.995613637129645,1,125668,SC-24-Z-C-III
1406.0000,1239.0000,-37.793366_-11.276908,838.0000,3004.5000,SC-24-Z-C,3148.0000,2180.5000,0.861689359000288,1,125682,SC-24-Z-C-III
1503.0000,1285.0000,-37.794443_-11.274036,840.0000,3365.0000,SC-24-Z-C,3244.0000,2123.0000,0.683200139651742,1,125669,SC-24-Z-C-III
946.0000,999.0000,-37.794443_-11.273677,541.0000,3935.0000,SC-24-Z-C,2545.0000,1535.0000,0.314409943589244,1,125698,SC-24-Z-C-III
956.5000,865.0000,-37.659459_-11.383172,620.5000,1996.5000,SC-24-Z-C,2202.5000,1634.5000,0.443378601968497,1,125633,SC-24-Z-C-III
626.5000,705.5000,-37.615661_-11.267215,442.0000,3215.5000,SC-24-Z-C,1924.5000,1103.5000,0.181004068934990,1,125756,SC-24-Z-C-III
1354.0000,1111.0000,-37.616379_-11.265779,634.0000,2761.0000,SC-24-Z-C,2867.0000,2184.0000,0.161524053326784,1,125755,SC-24-Z-C-III
1107.0000,1062.0000,-37.619969_-11.262907,637.0000,2725.0000,SC-24-Z-C,2497.0000,1863.0000,0.900520170753473,1,125757,SC-24-Z-C-III
1720.5000,1345.0000,-37.617097_-11.149822,745.0000,3276.0000,SC-24-Z-C,3068.5000,2160.5000,0.411588961151686,1,125733,SC-24-Z-C-III
1531.0000,1362.0000,-37.611353_-11.141565,831.0000,2560.0000,SC-24-Z-C,2890.0000,2345.0000,0.965126264325790,1,125747,SC-24-Z-C-III
961.0000,935.0000,-37.611353_-11.144437,573.0000,3196.0000,SC-24-Z-C,2475.0000,1388.0000,0.765933444942855,1,125744,SC-24-Z-C-III
1313.5000,1190.5000,-37.617097_-11.144796,821.0000,2161.5000,SC-24-Z-C,2884.5000,2380.0000,0.504413031920432,1,125745,SC-24-Z-C-III
1452.5000,1234.5000,-37.616738_-11.144437,848.0000,2176.5000,SC-24-Z-C,2695.0000,2248.0000,0.063787095187470,1,125735,SC-24-Z-C-III
1260.5000,1059.0000,-37.616379_-11.144078,722.5000,2421.0000,SC-24-Z-C,2838.0000,2229.0000,0.886524344355483,1,125742,SC-24-Z-C-III
974.0000,916.0000,-37.614584_-11.144078,613.0000,2675.0000,SC-24-Z-C,2565.0000,1730.0000,0.283064981607473,1,125736,SC-24-Z-C-III
1335.0000,1158.0000,-37.615302_-11.144078,737.0000,2338.0000,SC-24-Z-C,2947.0000,2235.0000,0.040523773859052,1,125743,SC-24-Z-C-III
1501.0000,1208.0000,-37.613148_-11.143719,791.0000,2594.0000,SC-24-Z-C,3456.0000,2645.0000,0.597945416753867,1,125741,SC-24-Z-C-III
1363.0000,1200.0000,-37.614225_-11.144078,719.0000,2440.0000,SC-24-Z-C,2810.0000,2152.0000,0.620820376006943,1,125734,SC-24-Z-C-III
929.5000,808.5000,-37.620328_-11.148386,539.5000,2212.0000,SC-24-Z-C,2361.0000,1742.0000,0.024025975779818,1,125738,SC-24-Z-C-III
844.0000,847.0000,-37.618533_-11.149463,510.0000,3147.0000,SC-24-Z-C,2075.0000,1244.5000,0.590467012683693,1,125739,SC-24-Z-C-III
1500.0000,1201.0000,-37.617815_-11.150181,708.0000,3000.0000,SC-24-Z-C,3138.0000,2391.0000,0.741942543928587,1,125740,SC-24-Z-C-III
926.0000,866.5000,-37.620687_-11.149104,549.0000,2672.0000,SC-24-Z-C,2364.0000,1602.0000,0.818206722847730,1,125737,SC-24-Z-C-III
1176.0000,1037.0000,-37.621764_-11.149822,577.0000,2477.0000,SC-24-Z-C,2649.0000,1940.0000,0.003125546776535,1,125731,SC-24-Z-C-III
1405.5000,1191.0000,-37.622482_-11.150899,718.0000,2773.5000,SC-24-Z-C,2705.5000,1903.0000,0.906073469650315,1,125732,SC-24-Z-C-III
884.0000,868.0000,-37.618174_-11.152694,524.0000,3122.0000,SC-24-Z-C,2393.0000,1382.0000,0.634245544021701,1,125730,SC-24-Z-C-III
769.0000,794.0000,-37.60884_-11.13977,463.0000,3199.0000,SC-24-Z-C,2037.0000,1129.0000,0.998404039971011,1,125746,SC-24-Z-C-III
553.5000,582.0000,-37.511192_-11.517797,342.5000,2673.5000,SC-24-Z-C,1540.0000,779.5000,0.846112615592995,1,140434,SC-24-Z-C-VI
811.0000,795.0000,-37.51191_-11.518156,486.0000,2842.0000,SC-24-Z-C,1890.0000,1074.0000,0.456288206842679,1,140438,SC-24-Z-C-VI
1232.5000,1053.5000,-37.511192_-11.518515,736.0000,2528.5000,SC-24-Z-C,2747.5000,1940.0000,0.122121365589052,1,140463,SC-24-Z-C-VI
1248.5000,1053.5000,-37.511551_-11.518874,695.5000,2429.5000,SC-24-Z-C,2548.5000,1908.0000,0.905270323516914,1,140429,SC-24-Z-C-VI
913.0000,759.0000,-37.511551_-11.519592,455.0000,2436.0000,SC-24-Z-C,1913.0000,1165.0000,0.476083572809907,1,140480,SC-24-Z-C-VI
1121.0000,940.0000,-37.51191_-11.519233,572.0000,2389.0000,SC-24-Z-C,2365.0000,1638.0000,0.612683564569054,1,140410,SC-24-Z-C-VI
685.0000,712.0000,-37.512269_-11.518874,490.0000,2574.0000,SC-24-Z-C,1605.0000,982.0000,0.477061691726108,1,140458,SC-24-Z-C-VI
1252.0000,1194.0000,-37.512269_-11.519233,728.0000,2528.0000,SC-24-Z-C,2649.0000,2026.0000,0.548675678438153,1,140451,SC-24-Z-C-VI
1069.0000,844.5000,-37.512269_-11.519951,519.5000,2044.5000,SC-24-Z-C,2331.0000,1623.5000,0.246036683438480,1,140474,SC-24-Z-C-VI
1121.0000,992.0000,-37.513346_-11.519951,662.0000,2377.0000,SC-24-Z-C,2332.0000,1638.0000,0.519941699725034,1,140432,SC-24-Z-C-VI
591.5000,597.5000,-37.512987_-11.52031,321.0000,2561.0000,SC-24-Z-C,1652.5000,843.0000,0.852975130856969,1,140409,SC-24-Z-C-VI
952.0000,729.0000,-37.51191_-11.521028,477.0000,2076.0000,SC-24-Z-C,2122.0000,1537.0000,0.059339809309990,1,140430,SC-24-Z-C-VI
952.0000,729.0000,-37.511551_-11.520669,477.0000,2076.0000,SC-24-Z-C,2122.0000,1537.0000,0.305746031276765,1,140470,SC-24-Z-C-VI
911.5000,770.0000,-37.51191_-11.520669,477.5000,2067.5000,SC-24-Z-C,2063.0000,1387.0000,0.512491183221056,1,140456,SC-24-Z-C-VI
913.0000,759.0000,-37.51191_-11.519592,451.0000,2111.0000,SC-24-Z-C,2207.0000,1527.0000,0.433377547704881,1,140448,SC-24-Z-C-VI
1009.0000,781.0000,-37.511551_-11.52031,486.0000,2127.0000,SC-24-Z-C,2207.0000,1392.0000,0.223510340676219,1,140462,SC-24-Z-C-VI
828.5000,744.0000,-37.511192_-11.519592,482.0000,2600.5000,SC-24-Z-C,2004.5000,1201.0000,0.837905682884360,1,140415,SC-24-Z-C-VI
1127.0000,1012.0000,-37.511192_-11.522105,606.0000,2089.0000,SC-24-Z-C,2297.0000,1788.0000,0.853145765864162,1,140464,SC-24-Z-C-VI
1167.0000,993.0000,-37.511192_-11.521746,570.0000,2139.0000,SC-24-Z-C,2368.0000,1710.0000,0.577295912216208,1,140424,SC-24-Z-C-VI
960.5000,887.0000,-37.510833_-11.522464,594.0000,2186.5000,SC-24-Z-C,2306.5000,1593.5000,0.318975624848239,1,140466,SC-24-Z-C-VI
1029.0000,940.0000,-37.511192_-11.523182,633.0000,2230.0000,SC-24-Z-C,2326.5000,1696.0000,0.099933497595472,1,140431,SC-24-Z-C-VI
536.0000,670.0000,-37.513705_-11.52031,368.0000,3372.5000,SC-24-Z-C,1717.5000,742.5000,0.243564052544895,1,140461,SC-24-Z-C-VI
1121.0000,1150.0000,-37.510115_-11.5239,938.0000,1786.0000,SC-24-Z-C,2460.0000,1845.0000,0.785221205966078,1,140460,SC-24-Z-C-VI
1477.0000,1375.5000,-37.509756_-11.523541,927.5000,2606.5000,SC-24-Z-C,2575.0000,1869.0000,0.267430645517294,1,140478,SC-24-Z-C-VI
1186.5000,1067.0000,-37.509397_-11.524259,673.0000,2653.5000,SC-24-Z-C,2585.5000,1774.5000,0.926904145581817,1,140418,SC-24-Z-C-VI
1133.5000,1026.0000,-37.509397_-11.5239,656.5000,2632.5000,SC-24-Z-C,2613.5000,1768.0000,0.106518694524174,1,140483,SC-24-Z-C-VI
1222.0000,1109.0000,-37.508679_-11.5239,776.5000,2067.5000,SC-24-Z-C,2274.0000,1616.0000,0.681926600757008,1,140468,SC-24-Z-C-VI
970.0000,820.0000,-37.50832_-11.524618,550.0000,2251.0000,SC-24-Z-C,2217.0000,1557.5000,0.170028491105805,1,140427,SC-24-Z-C-VI
1121.5000,885.5000,-37.508679_-11.524618,566.0000,2348.5000,SC-24-Z-C,2335.0000,1500.0000,0.938914309362979,1,140454,SC-24-Z-C-VI
1131.0000,967.5000,-37.50832_-11.524977,600.5000,2356.0000,SC-24-Z-C,2529.5000,1747.5000,0.960021446883139,1,140452,SC-24-Z-C-VI
1205.0000,992.0000,-37.507961_-11.52031,554.0000,3046.0000,SC-24-Z-C,2713.0000,1710.0000,0.682971505110129,1,140421,SC-24-Z-C-VI
1365.0000,1087.0000,-37.507602_-11.521028,546.0000,2850.0000,SC-24-Z-C,2966.0000,1891.0000,0.323197159211866,1,140481,SC-24-Z-C-VI
1365.0000,1087.0000,-37.507602_-11.520669,546.0000,2850.0000,SC-24-Z-C,2966.0000,1891.0000,0.358088890621117,1,140416,SC-24-Z-C-VI
1590.0000,1226.0000,-37.507961_-11.521028,683.0000,2713.0000,SC-24-Z-C,3029.0000,2072.0000,0.434863899917910,1,140435,SC-24-Z-C-VI
