red,green,code,blue,nir,maingrid,swir1,swir2,randomc,value,OGC_FID,subgrid
542.0000,496.5000,-47.501444_-23.966122,292.0000,2798.0000,SF-23-Y-C,1551.0000,752.0000,0.883983308924258,1,64549,SF-23-Y-C-IV
401.0000,505.0000,-47.501444_-23.963609,265.0000,2917.0000,SF-23-Y-C,1538.0000,660.0000,0.249342396069992,1,64551,SF-23-Y-C-IV
910.5000,825.0000,-47.507188_-23.965763,545.5000,2613.0000,SF-23-Y-C,2368.5000,1530.0000,0.947458949205474,1,64552,SF-23-Y-C-IV
1052.5000,1003.5000,-47.506111_-23.967558,669.5000,2499.5000,SF-23-Y-C,2373.0000,1577.5000,0.676952828149158,1,64550,SF-23-Y-C-IV
1282.0000,959.0000,-47.5316_-23.682153,560.0000,2570.0000,SF-23-Y-C,2825.0000,1933.0000,0.845563681706621,1,64581,SF-23-Y-C-IV
1071.5000,888.5000,-47.5316_-23.67964,537.5000,2649.0000,SF-23-Y-C,2839.5000,1738.0000,0.505444456858135,1,64584,SF-23-Y-C-IV
375.0000,455.0000,-47.534831_-23.674614,297.0000,2738.0000,SF-23-Y-C,1605.0000,716.0000,0.716113103099120,1,64585,SF-23-Y-C-IV
797.5000,741.0000,-47.541293_-23.679281,457.0000,2360.5000,SF-23-Y-C,2040.0000,1158.0000,0.436308437602669,1,64582,SF-23-Y-C-IV
863.0000,829.0000,-47.538062_-23.676768,483.0000,3120.0000,SF-23-Y-C,2556.0000,1536.0000,0.518681953219241,1,64583,SF-23-Y-C-IV
1407.0000,1213.0000,-47.460159_-23.577325,879.0000,2232.5000,SF-23-Y-C,2572.5000,2151.5000,0.704709742319587,1,148660,SF-23-Y-C-V
2187.0000,1602.5000,-47.457646_-23.565478,951.5000,3113.0000,SF-23-Y-C,3603.5000,2932.0000,0.879310909841549,1,148684,SF-23-Y-C-V
1460.0000,1162.0000,-47.449748_-23.559016,779.0000,2387.0000,SF-23-Y-C,2760.0000,2181.0000,0.897156343681997,1,148643,SF-23-Y-C-V
879.0000,835.0000,-47.45262_-23.556503,544.0000,2846.0000,SF-23-Y-C,2338.0000,1420.0000,0.871902931565450,1,148659,SF-23-Y-C-V
1293.0000,1091.0000,-47.457287_-23.557939,761.0000,2589.0000,SF-23-Y-C,2368.0000,1610.0000,0.101913060806972,1,148629,SF-23-Y-C-V
938.0000,833.0000,-47.454415_-23.545374,613.0000,1779.0000,SF-23-Y-C,1890.0000,1579.0000,0.814945027672935,1,148669,SF-23-Y-C-V
